"","subitem","subject.x","item.x","list","exp","integrated","related.x","n2num.x","text","X","X.1","X.2","X.3","X.4","animacy","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","Ass..H.L","Ass..L.HP","Ass..L.HS","AssArc.H.L","AssArc.L.HP","AssArc.L.HS","Plausibility","maincode","dysfluency","subject.y","item.y","transciption"
"42","21-18",21,18,5,"SemRel","unint","unrel","plur","The","table","by","the","antique","lamps","I",5,2,7,5,5,2,5,5,2,1,2,1,105.2,1212.84,4.35,2.06,2.03,3.08,0.73,0.49,5.33,5,3.67,0,0,2.5,0,0,0.32,6.25,"C","",21,18,"the table by the antique lamps was beautiful"
"43","21-19",21,19,5,"SemRel","unint","unrel","sing","The","resort","near","the","elaborate","garden","I",6,4,9,6,6,3,8,5,2,1,4,2,6.65,59.14,2.98,26.29,0.88,1.78,0.6,1.44,3.67,3.67,3.33,0,0,0,0,0,0,6.08,"C","",21,19,"the resort near the elaborate garden was very fancy"
"44","21-20",21,20,5,"SemRel","unint","unrel","sing","The","hydrant","near","the","bright","reflector","I",7,4,6,9,8,3,4,9,2,1,1,3,1,59.14,42.31,0.27,0.3,1.78,1.64,0.11,2.58,2,2.25,0,0,0,0,0,0,4.67,"C","",21,20,"the hydrant near the bright reflector was red"
"45","21-21",21,21,5,"SemRel","unint","unrel","sing","The","guitar","near","the","faulty","pedal","I",6,4,6,5,5,3,5,5,2,1,2,2,15.53,59.14,1.63,1.47,1.22,1.78,0.42,0.39,4.17,5,2.63,0,0,0,0,0,0,3.75,"U","",21,21,"the guitar near the faulty pedal had broken strings"
"46","21-22",21,22,5,"SemRel","unint","rel","plur","The","trainer","near","the","confident","boxers","A",7,4,9,6,6,3,9,7,2,1,3,2,5.49,59.14,10.65,1.98,0.81,1.78,1.07,0.47,6.33,6,3.92,0,0,0,0,0,0,5,"C","",21,22,"the trainer near the confident boxers was very in shape"
"47","21-24",21,24,5,"SemRel","unint","rel","plur","The","camera","by","the","special","lenses","I",6,2,7,6,6,2,6,6,3,1,2,2,56.9,1212.84,148.2,2.27,1.76,3.08,2.17,0.52,6.08,6.5,5.67,2.5,0,12.5,0.32,0,0.72,5,"C","",21,24,"the camera by the special lenses was very expensive"
"48","36-1",36,1,4,"SemRel","integ","unrel","plur","The","envelope","for","the","photo","albums","I",8,3,5,6,7,3,4,6,3,1,2,2,10.04,6749.25,22.82,2.33,1.04,3.83,1.38,0.52,2.83,2.17,3.75,0,0,0,0,0,0,4.75,"C","",36,1,"the envelope for the photo albums was taken"
"49","36-2",36,2,4,"SemRel","integ","unrel","plur","The","cake","with","the","candy","figurines","I",4,4,5,9,3,3,5,9,1,1,2,3,44.84,5044.84,35.55,0.49,1.66,3.7,1.56,0.17,3.92,3.58,3.58,0,0,0,0,0,0,6.33,"C","",36,2,"the cake with the candy figurines was eaten"
"50","36-3",36,3,4,"SemRel","integ","unrel","plur","The","hammer","for","the","rigid","pegs","I",6,3,5,4,5,3,5,4,2,1,2,1,10.18,6749.25,1.86,0.25,1.05,3.83,0.46,0.1,5.08,4.08,5.67,0,0,0,0,0,0,5.08,"C","",36,3,"the hammer for the rigid pegs was used"
"51","36-4",36,4,4,"SemRel","integ","unrel","sing","The","coach","for","the","disruptive","teenager","A",5,3,10,8,4,3,9,7,1,1,3,3,29.33,6749.25,0.43,6.92,1.48,3.83,0.16,0.9,4.25,2.58,3.67,0,0,0,0,0,0,5.33,"C","D",36,4,"the coach for the disruptive teenager um yelled at him"
"52","36-5",36,5,4,"SemRel","integ","unrel","sing","The","tent","with","the","sturdy","cushion","I",4,4,6,7,4,3,6,5,1,1,2,2,17.39,5044.84,1.69,1.86,1.26,3.7,0.43,0.46,1.92,2.08,3.67,0,0,0,0,0,0,3.25,"U","",36,5,"the tent with the sturdy cushion fell down"
"53","36-6",36,6,4,"SemRel","integ","unrel","sing","The","dam","for","the","musty","factory","I",3,3,5,7,3,3,5,7,1,1,2,3,5.29,6749.25,0.49,2.31,0.8,3.83,0.17,0.52,2,3.33,2.67,0,5,0,0,0.45,0,3.25,"C","",36,6,"the dam for the musty factory was broken"
"54","36-7",36,7,4,"SemRel","integ","rel","plur","The","necklace","with","the","colorful","diamonds","I",8,4,8,8,6,3,8,7,2,1,3,2,9.71,5044.84,3.14,17.04,1.03,3.7,0.62,1.26,6.33,5.5,6.33,2.5,0,5,0.32,0,0.45,5.33,"C","",36,7,"the necklace with the colorful diamonds was worn"
"55","36-8",36,8,4,"SemRel","integ","rel","plur","The","fortress","with","the","ancient","walls","I",8,4,7,5,7,3,6,4,2,1,2,1,3.37,5044.84,21.61,24.16,0.64,3.7,1.35,1.4,6.25,6.33,6.08,0,0,0,0,0,0,6.42,"U","",36,8,"the fortress with the ancient walls fell down"
"56","36-9",36,9,4,"SemRel","integ","rel","plur","The","butler","for","the","selfish","millionaires","A",6,3,7,12,6,3,6,10,2,1,2,3,6.8,6749.25,15.94,1.76,0.89,3.83,1.23,0.44,5.83,4.58,5.18,0,0,0,0,0,0,6.08,"C","",36,9,"the butler for the selfish millionaires was selfless"
"57","36-10",36,10,4,"SemRel","integ","rel","sing","The","vase","with","the","vibrant","flower","I",4,4,7,6,3,3,7,5,1,1,2,2,3.84,5044.84,1.02,22.14,0.69,3.7,0.31,1.36,5.75,6.78,6,15,0,2.5,0.8,0,0.32,6.67,"C","",36,10,"the vase with the vibrant flower was put on the table"
"58","36-11",36,11,4,"SemRel","integ","rel","sing","The","banana","for","the","popular","sundae","I",6,3,7,6,6,3,8,5,3,1,3,2,10.61,6749.25,23.22,1.59,1.06,3.83,1.38,0.41,5.08,5.75,4.5,0,0,5,0,0,0.45,6.08,"C","D",36,11,"the banana for the popular sundae was….thrown out"
"59","36-13",36,13,4,"SemRel","unint","unrel","plur","The","bicycle","by","the","warped","baskets","I",7,2,6,7,8,2,4,7,3,1,1,2,6.55,1212.84,1.35,1.61,0.88,3.08,0.37,0.42,4.58,3,3.5,0,0,0,0,0,0,4.42,"C","",36,13,"the bicycle by the warped basket was ridden"
"60","36-14",36,14,4,"SemRel","unint","unrel","plur","The","caddy","near","the","charismatic","celebrities","A",5,4,11,11,4,3,10,10,2,1,4,4,2.73,59.14,0.8,7.27,0.57,1.78,0.26,0.92,2.25,1.17,2.33,0,0,0,0,0,0,5.58,"C","",36,14,"the caddy near the charismatic celebrities was star struck"
"61","36-15",36,15,4,"SemRel","unint","unrel","plur","The","church","near","the","giant","driveways","I",6,4,5,9,6,3,5,7,1,1,2,2,68.73,59.14,20.18,0.2,1.84,1.78,1.33,0.08,1.92,2.42,2.25,0,0,0,0,0,0,5.42,"C","",36,15,"the church near the giant driveways was full"
"62","36-16",36,16,4,"SemRel","unint","unrel","sing","The","eraser","near","the","novelty","pen","I",6,4,7,3,6,3,7,3,3,1,3,1,1,59.14,1.67,23.9,0.3,1.78,0.43,1.4,4.33,3.33,2.5,0,2.5,2.5,0,0.32,0.32,4.75,"U","",36,16,"the eraser near the novelty pen fell off"
"63","36-17",36,17,4,"SemRel","unint","unrel","sing","The","waitress","by","the","impatient","senior","A",8,2,9,6,6,2,8,5,2,1,3,2,9.67,1212.84,4.04,0.71,1.03,3.08,0.7,0.23,1.17,2.08,2.58,0,0,0,0,0,0,4.75,"C","",36,17,"the waitress by the impatient senior was patient"
"64","36-18",36,18,4,"SemRel","unint","unrel","sing","The","table","by","the","antique","lamp","I",5,2,7,4,5,2,5,4,2,1,2,1,105.2,1212.84,4.35,12.82,2.03,3.08,0.73,1.14,5,5,4.27,0,0,10,0,0,0.64,5.92,"C","",36,18,"the table by the antique lamp was broken"
"65","36-20",36,20,4,"SemRel","unint","rel","plur","The","hydrant","near","the","bent","hoses","I",7,4,5,5,8,3,4,5,2,1,1,2,1,59.14,1.02,1.08,0.3,1.78,0.31,0.32,6.33,4.27,4.5,0,0,0,0,0,0,4.58,"C","",36,20,"the hydrant near the bent hoses was used"
"66","36-21",36,21,4,"SemRel","unint","rel","plur","The","guitar","near","the","faulty","strings","I",6,4,7,7,5,3,5,6,2,1,2,1,15.53,59.14,1.63,8.1,1.22,1.78,0.42,0.96,6.83,6.58,6.08,12.5,0,20,0.72,0,0.93,4.17,"C","",36,21,"the guitar near the faulty strings was thrown out"
"67","36-22",36,22,4,"SemRel","unint","rel","sing","The","trainer","near","the","confident","boxer","A",7,4,9,5,6,3,9,6,2,1,3,2,5.49,59.14,10.65,3.82,0.81,1.78,1.07,0.68,6.64,5.67,5.36,0,0,0,0,0,0,5.33,"C","",36,22,"the trainer near the confident boxer was supportive"
"68","36-23",36,23,4,"SemRel","unint","rel","sing","The","canoe","near","the","weathered","oar","I",5,4,9,3,4,3,5,3,2,1,2,1,3.53,59.14,0.18,0.67,0.66,1.78,0.07,0.22,6.67,6.08,4.83,0,0,10,0,0,0.64,6,"C","",36,23,"the canoe near the weathered oar was not used"
"69","36-24",36,24,4,"SemRel","unint","rel","sing","The","camera","by","the","special","lens","I",6,2,7,4,6,2,6,4,3,1,2,1,56.9,1212.84,148.2,4.67,1.76,3.08,2.17,0.75,6.75,6.58,4.83,2.5,0,20,0.32,0,0.93,5.5,"C","",36,24,"the camera by the special lens was used"
"70","44-1",44,1,4,"SemRel","integ","unrel","plur","The","envelope","for","the","photo","albums","I",8,3,5,6,7,3,4,6,3,1,2,2,10.04,6749.25,22.82,2.33,1.04,3.83,1.38,0.52,2.83,2.17,3.75,0,0,0,0,0,0,4.75,"C","",44,1,"the envelope for the photo albums was full"
"71","44-2",44,2,4,"SemRel","integ","unrel","plur","The","cake","with","the","candy","figurines","I",4,4,5,9,3,3,5,9,1,1,2,3,44.84,5044.84,35.55,0.49,1.66,3.7,1.56,0.17,3.92,3.58,3.58,0,0,0,0,0,0,6.33,"C","",44,2,"the cake with the candy figurines was yummy"
"72","44-3",44,3,4,"SemRel","integ","unrel","plur","The","hammer","for","the","rigid","pegs","I",6,3,5,4,5,3,5,4,2,1,2,1,10.18,6749.25,1.86,0.25,1.05,3.83,0.46,0.1,5.08,4.08,5.67,0,0,0,0,0,0,5.08,"C","",44,3,"the hammer for the rigid pegs was crooked"
"73","44-4",44,4,4,"SemRel","integ","unrel","sing","The","coach","for","the","disruptive","teenager","A",5,3,10,8,4,3,9,7,1,1,3,3,29.33,6749.25,0.43,6.92,1.48,3.83,0.16,0.9,4.25,2.58,3.67,0,0,0,0,0,0,5.33,"C","",44,4,"the coach for the disruptive teenager was weird"
"74","44-5",44,5,4,"SemRel","integ","unrel","sing","The","tent","with","the","sturdy","cushion","I",4,4,6,7,4,3,6,5,1,1,2,2,17.39,5044.84,1.69,1.86,1.26,3.7,0.43,0.46,1.92,2.08,3.67,0,0,0,0,0,0,3.25,"U","",44,5,"the tent with the sturdy cushion fell"
"75","44-6",44,6,4,"SemRel","integ","unrel","sing","The","dam","for","the","musty","factory","I",3,3,5,7,3,3,5,7,1,1,2,3,5.29,6749.25,0.49,2.31,0.8,3.83,0.17,0.52,2,3.33,2.67,0,5,0,0,0.45,0,3.25,"C","",44,6,"the dam for the musty factory was clogged"
"76","44-7",44,7,4,"SemRel","integ","rel","plur","The","necklace","with","the","colorful","diamonds","I",8,4,8,8,6,3,8,7,2,1,3,2,9.71,5044.84,3.14,17.04,1.03,3.7,0.62,1.26,6.33,5.5,6.33,2.5,0,5,0.32,0,0.45,5.33,"C","",44,7,"the necklace with the colorful diamonds was priceless"
"77","44-8",44,8,4,"SemRel","integ","rel","plur","The","fortress","with","the","ancient","walls","I",8,4,7,5,7,3,6,4,2,1,2,1,3.37,5044.84,21.61,24.16,0.64,3.7,1.35,1.4,6.25,6.33,6.08,0,0,0,0,0,0,6.42,"C","",44,8,"the fortress with the ancient walls was crumbling"
"78","44-9",44,9,4,"SemRel","integ","rel","plur","The","butler","for","the","selfish","millionaires","A",6,3,7,12,6,3,6,10,2,1,2,3,6.8,6749.25,15.94,1.76,0.89,3.83,1.23,0.44,5.83,4.58,5.18,0,0,0,0,0,0,6.08,"U","",44,9,"the butler for the selfish millionaires worked in batman"
