"","subitem","subject","item","word.type","seconds","unique.id","word"
"288","21-6",21,6,"C3",0.531006965,"21-6-C3","wide"
"289","21-7",21,7,"sil_#",0.788530317,"21-7-sil_#",NA
"290","21-7",21,7,"D1",0.075397966,"21-7-D1","The"
"291","21-7",21,7,"N1",0.445070735,"21-7-N1","necklace"
"292","21-7",21,7,"P1",0.148039166,"21-7-P1","with"
"293","21-7",21,7,"D2",0.108215305,"21-7-D2","the"
"294","21-7",21,7,"A1",0.509401872,"21-7-A1","colorful"
"295","21-7",21,7,"N2",0.535811399,"21-7-N2","feather"
"296","21-7",21,7,"C1",0.227024209,"21-7-C1","was"
"297","21-7",21,7,"C2",0.278913152,"21-7-C2","very"
"298","21-7",21,7,"C3",0.934130495,"21-7-C3","expensive"
"299","21-8",21,8,"sil_#",2.565534199,"21-8-sil_#",NA
"300","21-8",21,8,"D1",0.052240985,"21-8-D1","The"
"301","21-8",21,8,"N1",0.636320246,"21-8-N1","fortress"
"302","21-8",21,8,"P1",0.21030435,"21-8-P1","with"
"303","21-8",21,8,"D2",0.06952464,"21-8-D2","the"
"304","21-8",21,8,"A1",0.428614322,"21-8-A1","ancient"
"305","21-8",21,8,"N2",0.641986238,"21-8-N2","farm"
"306","21-8",21,8,"sil_N2C1",0.331560912,"21-8-sil_N2C1",NA
"307","21-8",21,8,"C1",0.37250652,"21-8-C1","was"
"308","21-8",21,8,"C2",0.503069407,"21-8-C2","very"
"309","21-8",21,8,"sil_C2C3",0.192133688,"21-8-sil_C2C3",NA
"310","21-8",21,8,"C3",0.650505915,"21-8-C3","fancy"
"311","21-9",21,9,"sil_#",1.280461815,"21-9-sil_#",NA
"312","21-9",21,9,"D1",0.078862669,"21-9-D1","The"
"313","21-9",21,9,"N1",0.405463986,"21-9-N1","butler"
"314","21-9",21,9,"P1",0.202744499,"21-9-P1","for"
"315","21-9",21,9,"D2",0.106862704,"21-9-D2","the"
"316","21-9",21,9,"A1",0.55599235,"21-9-A1","spoiled"
"317","21-9",21,9,"N2",0.385272762,"21-9-N2","kid"
"318","21-9",21,9,"sil_N2C1",0.309973118,"21-9-sil_N2C1",NA
"319","21-9",21,9,"C1",0.156383636,"21-9-C1","was"
"320","21-9",21,9,"C2",0.487928729,"21-9-C2","very"
"321","21-9",21,9,"sil_C2C3",0.180692169,"21-9-sil_C2C3",NA
"322","21-9",21,9,"C3",0.72575205,"21-9-C3","impatient"
"323","21-10",21,10,"sil_#",1.75902792,"21-10-sil_#",NA
"324","21-10",21,10,"D1",0.078437649,"21-10-D1","The"
"325","21-10",21,10,"N1",0.283828891,"21-10-N1","vase"
"326","21-10",21,10,"P1",0.149366863,"21-10-P1","with"
"327","21-10",21,10,"D2",0.082874033,"21-10-D2","the"
"328","21-10",21,10,"A1",0.475536616,"21-10-A1","vibrant"
"329","21-10",21,10,"N2",0.78945946,"21-10-N2","flowers"
"330","21-10",21,10,"sil_N2C1",0.162215021,"21-10-sil_N2C1",NA
"331","21-10",21,10,"C1",0.179034753,"21-10-C1","was"
"332","21-10",21,10,"C2",0.36143536,"21-10-C2","very"
"333","21-10",21,10,"C3",0.613528692,"21-10-C3","colorful"
"334","21-11",21,11,"sil_#",2.814975284,"21-11-sil_#",NA
"335","21-11",21,11,"D1",0.044469149,"21-11-D1","The"
"336","21-11",21,11,"N1",0.452436122,"21-11-N1","banana"
"337","21-11",21,11,"P1",0.163157802,"21-11-P1","for"
"338","21-11",21,11,"D2",0.192929257,"21-11-D2","the"
"339","21-11",21,11,"A1",0.723943359,"21-11-A1","popular"
"340","21-11",21,11,"N2",0.841540558,"21-11-N2","sundaes"
"341","21-11",21,11,"C1",0.379308507,"21-11-C1","was"
"342","21-11",21,11,"C2",0.490442382,"21-11-C2","yummy"
"343","21-12",21,12,"sil_#",0.816161095,"21-12-sil_#",NA
"344","21-12",21,12,"D1",0.032236118,"21-12-D1","The"
"345","21-12",21,12,"N1",0.585163786,"21-12-N1","bodyguard"
"346","21-12",21,12,"P1",0.161110635,"21-12-P1","for"
"347","21-12",21,12,"D2",0.095953879,"21-12-D2","the"
"348","21-12",21,12,"A1",0.440862515,"21-12-A1","nervous"
"349","21-12",21,12,"N2",0.765237165,"21-12-N2","actresses"
"350","21-12",21,12,"C1",0.182859703,"21-12-C1","was"
"351","21-12",21,12,"C2",0.303074624,"21-12-C2","very"
"352","21-12",21,12,"C3",0.690176735,"21-12-C3","strong"
"353","21-13",21,13,"sil_#",0.60259897,"21-13-sil_#",NA
"354","21-13",21,13,"D1",0.052550262,"21-13-D1","The"
"355","21-13",21,13,"N1",0.481495023,"21-13-N1","bicycle"
"356","21-13",21,13,"P1",0.181445698,"21-13-P1","with"
"357","21-13",21,13,"D2",0.080832998,"21-13-D2","the"
"358","21-13",21,13,"A1",0.312872735,"21-13-A1","warped"
"359","21-13",21,13,"N2",0.575352722,"21-13-N2","tire"
"360","21-13",21,13,"sil_N2C1",0.448837233,"21-13-sil_N2C1",NA
"361","21-13",21,13,"C1",0.187363521,"21-13-C1","was"
"362","21-13",21,13,"C2",0.692654888,"21-13-C2","broken"
"363","21-14",21,14,"sil_#",0.736547595,"21-14-sil_#",NA
"364","21-14",21,14,"D1",0.141382742,"21-14-D1","The"
"365","21-14",21,14,"N1",0.356478121,"21-14-N1","caddy"
"366","21-14",21,14,"P1",0.182107117,"21-14-P1","for"
"367","21-14",21,14,"D2",0.134697432,"21-14-D2","the"
"368","21-14",21,14,"A1",0.473865245,"21-14-A1","charismatic"
"369","21-14",21,14,"N1",0.697207691,"21-14-N1","caddy"
"370","21-14",21,14,"C1",0.367069685,"21-14-C1","had"
"371","21-14",21,14,"C2",0.428204832,"21-14-C2","brown"
"372","21-14",21,14,"C3",0.455730318,"21-14-C3","hair"
"373","21-15",21,15,"sil_#",0.332904759,"21-15-sil_#",NA
"374","21-15",21,15,"D1",0.090918647,"21-15-D1","The"
"375","21-15",21,15,"N1",0.320871494,"21-15-N1","church"
"376","21-15",21,15,"P1",0.123316834,"21-15-P1","with"
"377","21-15",21,15,"D2",0.062271065,"21-15-D2","the"
"378","21-15",21,15,"A1",0.410194828,"21-15-A1","giant"
"379","21-15",21,15,"N2",0.627296215,"21-15-N2","cross"
"380","21-15",21,15,"sil_N2C1",0.232901523,"21-15-sil_N2C1",NA
"381","21-15",21,15,"C1",0.203795902,"21-15-C1","was"
"382","21-15",21,15,"C2",0.393437744,"21-15-C2","holding"
"383","21-15",21,15,"C3",0.604472691,"21-15-C3","mass"
"384","21-16",21,16,"sil_#",1.382258335,"21-16-sil_#",NA
"385","21-16",21,16,"D1",0.102373403,"21-16-D1","The"
"386","21-16",21,16,"N1",0.406121956,"21-16-N1","eraser"
"387","21-16",21,16,"P1",0.195867352,"21-16-P1","near"
"388","21-16",21,16,"D2",0.153806261,"21-16-D2","the"
"389","21-16",21,16,"A1",0.611158009,"21-16-A1","novelty"
"390","21-16",21,16,"N2",0.579221271,"21-16-N2","pens"
"391","21-16",21,16,"sil_N2C1",0.138296199,"21-16-sil_N2C1",NA
"392","21-16",21,16,"C1",0.21346489,"21-16-C1","was"
"393","21-16",21,16,"C2",0.418937369,"21-16-C2","red"
"394","21-17",21,17,"sil_#",1.063258503,"21-17-sil_#",NA
"395","21-17",21,17,"D1",0.134605193,"21-17-D1","The"
"396","21-17",21,17,"N1",0.43777904,"21-17-N1","waitress"
"397","21-17",21,17,"P1",0.22521508,"21-17-P1","by"
"398","21-17",21,17,"D2",0.135005926,"21-17-D2","the"
"399","21-17",21,17,"A1",0.672447406,"21-17-A1","impatient"
"400","21-17",21,17,"N2",0.787908273,"21-17-N2","seniors"
"401","21-17",21,17,"sil_N2C1",0.32189275,"21-17-sil_N2C1",NA
"402","21-17",21,17,"C1",0.170496566,"21-17-C1","was"
"403","21-17",21,17,"C2",0.247391374,"21-17-C2","very"
"404","21-17",21,17,"C3",0.866915271,"21-17-C3","frustrated"
"405","21-18",21,18,"sil_#",0.542632763,"21-18-sil_#",NA
"406","21-18",21,18,"D1",0.164956383,"21-18-D1","The"
