subitem	subject	item	word	seconds
44-1	44	1	P1	0.122063573
44-1	44	1	D2	0.087240112
44-1	44	1	A1	0.285795664
44-1	44	1	N2	0.532771827
44-1	44	1	C1	0.179889997
44-1	44	1	C2	0.293933951
44-2	44	2	sil_#	0.266777527
44-2	44	2	D1	0.098288113
44-2	44	2	N1	0.174734423
44-2	44	2	P1	0.169273973
44-2	44	2	D2	0.092827662
44-2	44	2	sil_D2A1	0.267562086
44-2	44	2	A1	0.319645153
44-2	44	2	N2	0.533645098
44-2	44	2	C1	0.159115336
44-2	44	2	C2	0.432467693
44-3	44	3	sil_#	1.134610998
44-3	44	3	D1	0.041109381
44-3	44	3	N1	0.318391786
44-3	44	3	P1	0.145723372
44-3	44	3	D2	0.071481293
44-3	44	3	A1	0.333319616
44-3	44	3	sil_A1N2	0.255095882
44-3	44	3	N2	0.378396666
44-3	44	3	C1	0.130589262
44-3	44	3	C2	0.371078714
44-4	44	4	sil_#	0.597628451
44-4	44	4	D1	0.092750023
44-4	44	4	N1	0.308054824
44-4	44	4	P1	0.110096743
44-4	44	4	D2	0.093979655
44-4	44	4	A1	0.609336513
44-4	44	4	N2	0.553495458
44-4	44	4	C1	0.220244411
44-4	44	4	C2	0.36018257
44-5	44	5	sil_#	0.763529806
44-5	44	5	D1	0.078997219
44-5	44	5	N1	0.189474442
44-5	44	5	P1	0.174922412
44-5	44	5	D2	0.060278018
44-5	44	5	A1	0.373954363
44-5	44	5	N2	0.348743087
44-5	44	5	C1	0.391462848
44-6	44	6	sil_#	1.063162754
44-6	44	6	D1	0.141842712
44-6	44	6	N1	0.271001098
44-6	44	6	P1	0.102785954
44-6	44	6	D2	0.050768015
44-6	44	6	A1	0.335824515
44-6	44	6	N2	0.543289707
44-6	44	6	C1	0.281806045
44-6	44	6	C2	0.510181271
44-7	44	7	sil_#	1.02083111
44-7	44	7	D1	0.064931817
44-7	44	7	N1	0.405062822
44-7	44	7	P1	0.094684191
44-7	44	7	D2	0.098897041
44-7	44	7	A1	0.370405936
44-7	44	7	N2	0.424868429
44-7	44	7	C1	0.137078047
44-7	44	7	C2	0.638193667
44-8	44	8	sil_#	0.844397395
44-8	44	8	D1	0.10007308
44-8	44	8	N1	0.399053591
44-8	44	8	P1	0.120581739
44-8	44	8	D2	0.067928952
44-8	44	8	A1	0.399981069
44-8	44	8	N2	0.324964781
44-8	44	8	C1	0.152838755
44-8	44	8	C2	0.536379262
44-9	44	9	sil_#	1.205539415
44-9	44	9	D1	0.037223484
44-9	44	9	N1	0.315235989
44-9	44	9	P1	0.135971829
44-9	44	9	D2	0.080081739
44-9	44	9	A1	0.415302397
44-9	44	9	N2	0.845300804
44-9	44	9	sil_N2C1	0.433829111
44-9	44	9	C1	0.259034777
44-9	44	9	C2	0.095938806
44-9	44	9	C3	0.518069554
44-10	44	10	sil_#	0.786169222
44-10	44	10	D1	0.095794387
44-10	44	10	N1	0.255789321
44-10	44	10	P1	0.107847624
44-10	44	10	D2	0.077271753
44-10	44	10	A1	0.351195452
44-10	44	10	N2	0.400483709
44-10	44	10	C1	0.238073856
44-10	44	10	C2	0.278361573
44-10	44	10	C3	0.303336155
44-11	44	11	sil_#	0.660149133
44-11	44	11	D1	0.081207446
44-11	44	11	N1	0.377986327
44-11	44	11	P1	0.154361625
44-11	44	11	D2	0.089608827
44-11	44	11	A1	0.431760699
44-11	44	11	N2	0.45343655
44-11	44	11	C1	0.248865921
44-11	44	11	C2	0.455113608
44-12	44	12	sil_#	0.883901337
